City.2,City.1,City,1,2,3,4,5,6,7,8,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,1,farsund,58.0948,6.8047,13.3,100,0,7.65,NO,1666108228,-16.3658,-71.5004,13,62,20,1.03,PE,12/7/2024 19:46
1,2,new norfolk,-42.7826,147.0587,11.72,58,12,1.34,AU,1666108230,-16.3776,-71.5206,14.14,62,20,1.03,PE,12/7/2024 19:46
2,3,jamestown,42.097,-79.2353,5.77,77,100,9.77,US,1666107934,30.7894,29.7758,11.03,82,0,3.09,EG,12/7/2024 19:46
3,4,lanzhou,36.0564,103.7922,14.53,48,59,1.2,CN,1666108230,-16.3775,-71.52,14.14,62,20,1.03,PE,12/7/2024 19:46
4,5,ushuaia,-54.8,-68.3,8.81,81,75,3.09,AR,1666108231,30.8066,29.7305,10.97,82,0,3.09,EG,12/7/2024 19:46
5,6,albany,42.6001,-73.9662,10.36,74,29,2.1,US,1666108231,-16.367,-71.5066,13.36,62,20,1.03,PE,12/7/2024 19:46
6,7,carnarvon,-24.8667,113.6333,20.02,76,0,7.46,AU,1666108232,-16.3676,-71.5075,13.36,62,20,1.03,PE,12/7/2024 19:46
7,8,sisimiut,66.9395,-53.6735,2.72,98,100,3.79,GL,1666108235,14.6573,120.9656,30.66,74,40,2.57,PH,12/7/2024 19:46
8,9,saint-pierre,-21.3393,55.4781,22.82,68,0,5.14,RE,1666108236,-16.3663,-71.5032,13.05,62,20,1.03,PE,12/7/2024 19:46
9,10,colorado,-22.8375,-51.9731,20.36,86,96,4.69,BR,1666107965,-16.3759,-71.5228,14.01,62,20,1.03,PE,12/7/2024 19:46
10,11,nikolskoye,59.7035,30.7861,8.94,90,100,3.22,RU,1666108237,30.2934,31.7215,13.73,56,100,1.26,EG,12/7/2024 19:46
11,12,trairi,-3.2778,-39.2689,31.07,51,34,8.09,BR,1666108038,-16.3794,-71.5268,14.31,62,20,1.03,PE,12/7/2024 19:46
12,13,dobryanka,58.4619,56.4165,5.63,93,100,3.55,RU,1666108237,-16.3665,-71.5262,14.08,62,20,1.03,PE,12/7/2024 19:46
13,14,qaanaaq,77.484,-69.3632,-17.32,74,86,3.36,GL,1666108238,-16.3733,-71.5222,14.01,62,20,1.03,PE,12/7/2024 19:46
14,15,mataura,-46.1927,168.8643,2.89,96,97,1.36,NZ,1666108238,-16.3733,-71.5223,14.01,62,20,1.03,PE,12/7/2024 19:46
15,16,khatanga,71.9667,102.5,-3.46,96,100,9.84,RU,1666108239,-16.3762,-71.5209,14.01,62,20,1.03,PE,12/7/2024 19:46
16,17,tasiilaq,65.6145,-37.6368,2.39,84,99,2.38,GL,1666108239,-16.3692,-71.5206,14.02,62,20,1.03,PE,12/7/2024 19:46
17,18,tiksi,71.6872,128.8694,-13.6,93,100,3.09,RU,1666108240,-16.3734,-71.5222,14.01,62,20,1.03,PE,12/7/2024 19:46
18,19,puerto ayora,-0.7393,-90.3518,22.98,82,41,1.79,EC,1666108242,-16.3734,-71.5221,14.01,62,20,1.03,PE,12/7/2024 19:46
19,20,avarua,-21.2078,-159.775,22.03,73,20,2.57,CK,1666108220,-16.3733,-71.522,14.01,62,20,1.03,PE,12/7/2024 19:46
20,21,nuevo laredo,27.4763,-99.5164,12.15,87,75,3.6,MX,1666108147,30.7849,29.6042,10.99,82,0,3.09,EG,12/7/2024 19:46
21,22,guiratinga,-16.3494,-53.7583,38.35,14,22,3.1,BR,1666108243,30.7546,29.605,10.99,47,0,4.41,EG,12/7/2024 19:46
22,23,rikitea,-23.1203,-134.9692,20.41,65,77,9.23,PF,1666108244,30.7683,29.5734,11.01,47,0,4.38,EG,12/7/2024 19:46
23,24,dukat,62.55,155.55,-15.51,95,100,5.37,RU,1666108244,-16.3749,-71.5177,13.86,62,20,1.03,PE,12/7/2024 19:46
24,25,constitucion,-35.3333,-72.4167,15.04,61,79,3.61,CL,1666108245,-16.375,-71.5178,13.86,62,20,1.03,PE,12/7/2024 19:46
25,26,senneterre,48.3835,-77.2328,4.66,90,100,1.18,CA,1666108245,30.7675,29.5282,11.02,47,0,4.36,EG,12/7/2024 19:46
26,27,bambous virieux,-20.3428,57.7575,22.14,68,75,3.6,MU,1666108246,30.7601,29.5035,10.97,47,0,4.36,EG,12/7/2024 19:46
27,28,zangakatun,39.8212,45.0406,12.84,55,97,2.15,AM,1666108246,30.7524,29.4681,10.95,48,0,4.34,EG,12/7/2024 19:46
28,29,saint-louis,16.3333,-15,38.8,24,4,1.78,SN,1666108247,30.7267,29.4747,10.96,47,0,4.24,EG,12/7/2024 19:46
29,30,midwest city,35.4495,-97.3967,9.12,33,75,6.17,US,1666108247,14.639,120.9742,30.66,74,40,2.57,PH,12/7/2024 19:46
30,31,grimmen,54.1121,13.0405,16.1,75,26,5.54,DE,1666108249,30.3001,31.7761,13.85,56,100,1.33,EG,12/7/2024 19:46
31,32,cape town,-33.9258,18.4232,20.61,71,0,9.26,ZA,1666108250,14.638,120.9763,30.66,74,40,2.57,PH,12/7/2024 19:46
32,33,stornoway,58.2093,-6.3865,12.18,79,20,3.09,GB,1666108251,14.6363,120.9755,30.66,74,40,2.57,PH,12/7/2024 19:47
33,34,naberera,-4.2,36.9333,21.12,54,94,6.38,TZ,1666108252,14.6368,120.9732,30.66,74,40,2.57,PH,12/7/2024 19:47
34,35,chokurdakh,70.6333,147.9167,-14.63,98,94,3.02,RU,1666108253,14.6389,120.9717,30.65,74,40,2.57,PH,12/7/2024 19:47
